,team,season,goals,goalsAgainst,classified
241,Marseille,1991,5,2,True
242,Marseille,1993,14,4,True
243,Spartak Moskva,1991,2,5,False
244,Sampdoria,1992,10,5,True
245,Sparta Praha,1992,7,7,False
246,CSKA Moskva,1993,2,11,False
247,Paris,1995,0,3,False
248,Paris,2020,3,0,True
249,Paris,2021,1,4,False
250,Nantes,1996,3,4,False
251,Monaco,1994,0,3,False
252,Monaco,1998,4,6,False
253,Monaco,2004,5,3,True
254,Monaco,2017,1,4,False
255,Valencia,2000,5,3,True
256,Valencia,2001,3,0,True
257,Leverkusen,2002,3,3,True
258,Chelsea,2004,3,5,False
259,Chelsea,2005,0,1,False
260,Chelsea,2007,1,1,False
261,Chelsea,2008,4,3,True
262,Chelsea,2009,1,1,False
263,Chelsea,2012,3,2,True
264,Chelsea,2014,1,3,False
265,Chelsea,2021,3,1,True
266,Deportivo,2004,0,1,False
267,Villarreal,2006,0,1,False
268,Villarreal,2022,2,5,False
269,Arsenal,2006,1,0,True
270,Arsenal,2009,1,4,False
271,Lyon,2010,0,4,False
272,Lyon,2020,0,3,False
273,Schalke,2011,1,6,False
274,Man City,2016,0,1,False
275,Man City,2021,4,1,True
276,Man City,2022,5,6,False
277,Man City,2023,5,1,True
278,Leipzig,2020,0,3,False
279,Eintracht Frankfurt,1960,6,3,True
